Date,Price,TTM_EPS,P/E_TTM
01-10-2011,197.3,4.2,46.97619048
01-11-2011,174.98,4.2,41.66190476
01-12-2011,155.8,4.2,37.0952381
01-01-2012,183.71,4.58,40.11135371
01-02-2012,184.53,4.58,40.29039301
01-03-2012,168.76,4.58,36.84716157
01-04-2012,167.52,4.89,34.25766871
01-05-2012,158.64,4.89,32.44171779
01-06-2012,165.89,4.89,33.92433538
01-07-2012,167.19,5.02,33.30478088
01-08-2012,172.31,5.02,34.3247012
01-09-2012,188.23,5.02,37.49601594
01-10-2012,181.1,5.19,34.89402697
01-11-2012,178.45,5.19,34.38342967
01-12-2012,188.76,5.19,36.3699422
01-01-2013,199.35,5.33,37.40150094
01-02-2013,182.98,5.33,34.33020638
01-03-2013,173.77,5.33,32.60225141
01-04-2013,177.21,4.88,36.31352459
01-05-2013,181.28,4.88,37.14754098
01-06-2013,193.94,4.88,39.74180328
01-07-2013,196.07,4.49,43.66815145
01-08-2013,191.97,4.49,42.75501114
01-09-2013,184.9,4.49,41.18040089
01-10-2013,205.66,4.41,46.63492063
01-11-2013,191.83,4.41,43.49886621
01-12-2013,201.27,4.41,45.63945578
01-01-2014,186.87,4.14,45.13768116
01-02-2014,179.86,4.14,43.44444444
01-03-2014,209.26,4.14,50.54589372
01-04-2014,210.4,4.16,50.57692308
01-05-2014,239.38,4.16,57.54326923
01-06-2014,228.3,4.16,54.87980769
01-07-2014,226.28,4.33,52.25866051
01-08-2014,224.54,4.33,51.85681293
01-09-2014,212.63,4.33,49.10623557
01-10-2014,224.96,4.32,52.07407407
01-11-2014,222.95,4.32,51.6087963
01-12-2014,200.36,4.32,46.37962963
01-01-2015,205.78,4.73,43.50528541
01-02-2015,194.51,4.73,41.12262156
01-03-2015,185.71,4.73,39.26215645
01-04-2015,193.88,4.92,39.40650407
01-05-2015,197.18,4.92,40.07723577
01-06-2015,224.86,4.92,45.70325203
01-07-2015,225.25,4.9,45.96938776
01-08-2015,192.43,4.9,39.27142857
01-09-2015,193.87,4.9,39.56530612
01-10-2015,213.07,4.38,48.64611872
01-11-2015,217.15,4.38,49.57762557
01-12-2015,228.12,4.38,52.08219178
01-01-2016,232.79,4.16,55.95913462
01-02-2016,217.34,4.16,52.24519231
01-03-2016,235,4.16,56.49038462
01-04-2016,220.94,4.13,53.49636804
01-05-2016,215.36,4.13,52.14527845
01-06-2016,217.9,4.13,52.76029056
01-07-2016,228.18,4.31,52.94199536
01-08-2016,238.32,4.31,55.29466357
01-09-2016,243.65,4.31,56.53132251
01-10-2016,236.35,4.3,54.96511628
01-11-2016,222.6,4.3,51.76744186
01-12-2016,243.36,4.3,56.59534884
01-01-2017,235,4.16,56.49038462
01-02-2017,278.36,4.16,66.91346154
01-03-2017,296.98,4.16,71.38942308
01-04-2017,313.69,4.41,71.13151927
01-05-2017,301.43,4.41,68.35147392
01-06-2017,310.27,4.41,70.35600907
01-07-2017,363.15,4.43,81.9751693
01-08-2017,358.5,4.43,80.9255079
01-09-2017,351.14,4.43,79.26410835
01-10-2017,423.07,5.07,83.44575937
01-11-2017,414.39,5.07,81.73372781
01-12-2017,414.17,5.07,81.69033531
01-01-2018,432.27,8.34,51.83093525
01-02-2018,429.23,8.34,51.46642686
01-03-2018,396.92,8.34,47.59232614
01-04-2018,433.16,9.12,47.49561404
01-05-2018,414.3,9.12,45.42763158
01-06-2018,437.28,9.12,47.94736842
01-07-2018,533.3,10.88,49.01654412
01-08-2018,558.33,10.88,51.31709559
01-09-2018,565.66,10.88,51.99080882
01-10-2018,477.21,11.59,41.17428818
01-11-2018,525.01,11.59,45.29853322
01-12-2018,504.19,11.59,43.50215703
01-01-2019,551.81,8.75,63.064
01-02-2019,553.56,8.75,63.264
01-03-2019,613.01,8.75,70.05828571
01-04-2019,626.3,9.25,67.70810811
01-05-2019,598.13,9.25,64.6627027
01-06-2019,563.48,9.25,60.91675676
01-07-2019,524.42,8.78,59.72892938
01-08-2019,561.43,8.78,63.94419134
01-09-2019,599.07,8.78,68.23120729
01-10-2019,658.47,9.15,71.96393443
01-11-2019,697.5,9.15,76.2295082
01-12-2019,680.82,9.15,74.40655738
01-01-2020,634.77,10.34,61.38974855
01-02-2020,597.45,10.34,57.78046422
01-03-2020,500.82,10.34,48.43520309
01-04-2020,659.21,8.46,77.92080378
01-05-2020,664.73,8.46,78.57328605
01-06-2020,773.54,8.46,91.43498818
01-07-2020,938.32,7.01,133.8544936
01-08-2020,944.49,7.01,134.7346648
01-09-2020,1014.24,7.01,144.6847361
01-10-2020,932.6,6.12,152.3856209
01-11-2020,875.99,6.12,143.1356209
01-12-2020,901.19,6.12,147.253268
01-01-2021,836.11,5.66,147.7226148
01-02-2021,946.81,5.66,167.2809187
01-03-2021,909.27,5.66,160.6484099
01-04-2021,905.36,8.86,102.1851016
01-05-2021,980.62,8.86,110.6794582
01-06-2021,958.09,8.86,108.1365688
01-07-2021,923.88,12.7,72.74645669
01-08-2021,1025.04,12.7,80.71181102
01-09-2021,1143.56,12.7,90.04409449
01-10-2021,1151.28,17.34,66.39446367
01-11-2021,1091.88,17.34,62.96885813
01-12-2021,1074.97,17.34,61.99365629
01-01-2022,1083.35,21.97,49.3104233
01-02-2022,1071.07,21.97,48.75147929
01-03-2022,1195.99,21.97,54.43741466
01-04-2022,1266.58,26.18,48.37967914
01-05-2022,1195.04,26.18,45.64705882
01-06-2022,1178.24,26.18,45.00534759
01-07-2022,1139.11,30.25,37.65652893
01-08-2022,1197.44,30.25,39.58479339
01-09-2022,1079.33,30.25,35.68033058
01-10-2022,1157.34,30.55,37.88346972
01-11-2022,1239.84,30.55,40.58396072
01-12-2022,1156.25,30.55,37.84779051
01-01-2023,1068.48,29.92,35.71122995
01-02-2023,1054.27,29.92,35.23629679
01-03-2023,1058.13,29.92,35.36530749
01-04-2023,1098.74,28.02,39.21270521
01-05-2023,1121.16,28.02,40.01284797
01-06-2023,1157.63,28.02,41.31441827
01-07-2023,1274.63,25.36,50.26143533
01-08-2023,1203.5,25.36,47.45662461
01-09-2023,1172.5,25.36,46.23422713
01-10-2023,1143.95,23.9,47.86401674
01-11-2023,1188.72,23.9,49.73723849
01-12-2023,1292.47,23.9,54.07824268
01-01-2024,1426.63,22.64,63.01369258
01-02-2024,1460.8,22.64,64.5229682
01-03-2024,1485.85,22.64,65.62941696
01-04-2024,1467,21.44,68.42350746
01-05-2024,1430.4,21.44,66.71641791
01-06-2024,1565.4,21.44,73.0130597
01-07-2024,1505.43,19.62,76.7293578
01-08-2024,1509.63,19.62,76.94342508
01-09-2024,1476.57,19.62,75.25840979
01-10-2024,1332.05,18.24,73.02905702
01-11-2024,1292.2,18.24,70.84429825
01-12-2024,1215.45,18.24,66.63651316
01-01-2025,1265.1,15.56,81.30462725
01-02-2025,1200.1,15.56,77.12724936
01-03-2025,1275.1,15.56,81.94730077
01-04-2025,1405,14.07,99.85785359
01-05-2025,1420.9,14.07,100.9879176
01-06-2025,1500.6,14.07,106.652452
01-07-2025,1390.2,13.82,100.593343
01-08-2025,1357.2,13.82,98.20549928
01-09-2025,1364,13.82,98.6975398
